 j           ha          z0d           dd           g2           g3          cc1          cc2        corb1        corb2
 2   3.62800000   0.09401328   1.61634822   0.94889986   0.94889986 190.30903937 140.26208110  24.85314652 424.54412247
 2   3.63100000   0.16457344   2.20604723   0.81823530   0.81823530  99.54349957 132.49227880  24.34088682 240.13173504
 2   3.64900000   0.19309491   2.62387759   0.81586566   0.81586566  70.00551322 140.80337994  17.74889642 264.63665804
 2   3.66400000   0.21596376   2.91007037   0.81384459   0.81384459  54.97681835 148.85592367  13.97717353 285.97150400
 2   3.67900000   0.23476562   3.12234955   0.81211372   0.81211372  45.81706160 156.72775897  11.56626472 304.54169764
 2   3.69100000   0.25051646   3.28848350   0.81061847   0.81061847  39.62155705 164.43330203   9.90243307 321.89798088
 2   3.69700000   0.29178656   3.37583622   0.77544114   0.77544114  34.73869572 163.22414500   9.74552647 270.16955328
 2   3.70600000   0.31084028   3.47915202   0.76851004   0.76851004  31.28364227 168.31805591   8.87477354 270.48104496
 2   3.71500000   0.32774643   3.56772808   0.76297005   0.76297005  28.56860260 173.45193450   8.16290744 271.63649489
 2   3.72700000   0.34284681   3.64500513   0.75844228   0.75844228  26.37493884 178.63081175   7.57175677 272.47431355
 2   3.73600000   0.35641136   3.71338579   0.75467357   0.75467357  24.56287325 183.79266800   7.07215666 274.44712177
 2   3.74500000   0.36865681   3.77460514   0.75148847   0.75148847  23.03879461 188.95549858   6.64513749 276.60651186
 2   3.75100000   0.37975967   3.82995170   0.74876155   0.74876155  21.73760203 194.08881876   6.27550038 279.75381534
 2   3.76000000   0.38986552   3.88040525   0.74640077   0.74640077  20.61258670 199.24324393   5.95336022 282.07339973
 2   3.76900000   0.39909568   3.92672599   0.74433706   0.74433706  19.62934364 204.39163569   5.66968384 284.39472113
 2   3.77500000   0.40755228   3.96951424   0.74251756   0.74251756  18.76195594 209.50596316   5.41754912 287.62883047
 2   3.78400000   0.41532200   4.00925138   0.74090112   0.74090112  17.99051879 214.64150674   5.19260089 289.89211364
 2   3.79000000   0.42247897   4.04632872   0.73945521   0.73945521  17.29948424 219.74281312   4.99001033 293.06709385
 2   3.79900000   0.42908702   4.08106820   0.73815381   0.73815381  16.67652551 224.86709337   4.80709158 295.21057306
 2   3.80200000   0.45115179   4.09626531   0.72703760   0.72703760  16.02867820 224.84901174   4.79405126 276.42410781
 2   3.80800000   0.45759945   4.12646546   0.72572603   0.72572603  15.51295335 229.59408816   4.64010762 278.49390097
